Epoch	LR	Train Loss	Train Acc	
132.000000	0.000003	0.001482	0.861983	
133.000000	0.000003	0.001480	0.853860	
134.000000	0.000003	0.001480	0.857923	
135.000000	0.000003	0.001475	0.860266	
136.000000	0.000003	0.001473	0.861625	
137.000000	0.000003	0.001473	0.861895	
138.000000	0.000003	0.001470	0.863533	
139.000000	0.000003	0.001470	0.864138	
140.000000	0.000003	0.001470	0.860029	
141.000000	0.000003	0.001468	0.861546	
142.000000	0.000003	0.001468	0.858952	
143.000000	0.000003	0.001464	0.858752	
144.000000	0.000003	0.001463	0.861137	
145.000000	0.000003	0.001460	0.865438	
146.000000	0.000003	0.001457	0.865573	
147.000000	0.000003	0.001455	0.861053	
148.000000	0.000003	0.001456	0.867191	
149.000000	0.000003	0.001454	0.865055	
150.000000	0.000003	0.001451	0.858826	
151.000000	0.000003	0.001451	0.862882	
152.000000	0.000003	0.001448	0.863367	
153.000000	0.000003	0.001446	0.866424	
154.000000	0.000003	0.001446	0.862971	
155.000000	0.000003	0.001440	0.866186	
156.000000	0.000003	0.001440	0.871550	
157.000000	0.000003	0.001439	0.873707	
158.000000	0.000003	0.001436	0.864355	
159.000000	0.000003	0.001435	0.863558	
160.000000	0.000003	0.001432	0.864548	
161.000000	0.000003	0.001431	0.872189	
162.000000	0.000003	0.001429	0.865080	
163.000000	0.000003	0.001428	0.867576	
164.000000	0.000003	0.001425	0.871578	
165.000000	0.000003	0.001424	0.875734	
166.000000	0.000003	0.001419	0.879399	
167.000000	0.000003	0.001418	0.869301	
168.000000	0.000003	0.001419	0.872284	
169.000000	0.000003	0.001416	0.877469	
170.000000	0.000003	0.001412	0.876538	
171.000000	0.000003	0.001411	0.864668	
172.000000	0.000003	0.001409	0.880932	
173.000000	0.000003	0.001408	0.882130	
174.000000	0.000003	0.001405	0.877553	
175.000000	0.000003	0.001405	0.880141	
