Epoch	LR	Train Loss	Train Acc	
1.000000	0.000250	0.032228	0.012957	
2.000000	0.000250	0.002640	0.021003	
3.000000	0.000250	0.002478	0.027800	
4.000000	0.000250	0.002399	0.034605	
5.000000	0.000250	0.002346	0.039216	
6.000000	0.000250	0.002314	0.046163	
7.000000	0.000250	0.002290	0.062991	
8.000000	0.000250	0.002275	0.077002	
9.000000	0.000250	0.002258	0.089257	
10.000000	0.000250	0.002246	0.108430	
11.000000	0.000250	0.002236	0.118566	
12.000000	0.000250	0.002229	0.147174	
13.000000	0.000250	0.002224	0.143553	
14.000000	0.000250	0.002218	0.176728	
15.000000	0.000250	0.002213	0.202671	
16.000000	0.000250	0.002207	0.212935	
17.000000	0.000250	0.002202	0.209132	
18.000000	0.000250	0.002201	0.232796	
19.000000	0.000250	0.002196	0.241097	
20.000000	0.000250	0.002192	0.242755	
21.000000	0.000250	0.002188	0.239031	
22.000000	0.000250	0.002182	0.255731	
23.000000	0.000250	0.002175	0.265992	
24.000000	0.000250	0.002175	0.257132	
25.000000	0.000250	0.002164	0.257126	
26.000000	0.000250	0.002159	0.271444	
27.000000	0.000250	0.002158	0.283960	
28.000000	0.000250	0.002152	0.308324	
29.000000	0.000250	0.002148	0.328083	
30.000000	0.000250	0.002137	0.349549	
31.000000	0.000250	0.002130	0.364810	
32.000000	0.000250	0.002128	0.375122	
33.000000	0.000250	0.002117	0.394129	
34.000000	0.000250	0.002118	0.408228	
35.000000	0.000250	0.002113	0.427593	
36.000000	0.000250	0.002108	0.444069	
37.000000	0.000250	0.002097	0.446072	
38.000000	0.000250	0.002082	0.471342	
39.000000	0.000250	0.002077	0.488662	
40.000000	0.000250	0.002062	0.500358	
41.000000	0.000250	0.002052	0.518531	
42.000000	0.000250	0.002056	0.514280	
43.000000	0.000250	0.002054	0.519139	
44.000000	0.000250	0.002035	0.545953	
45.000000	0.000250	0.002032	0.547439	
46.000000	0.000250	0.002023	0.565369	
47.000000	0.000250	0.002004	0.574364	
48.000000	0.000250	0.002007	0.547499	
49.000000	0.000250	0.002008	0.555643	
50.000000	0.000250	0.002004	0.563089	
51.000000	0.000250	0.001980	0.579683	
52.000000	0.000250	0.001981	0.580378	
53.000000	0.000250	0.001947	0.595878	
54.000000	0.000250	0.001954	0.604996	
55.000000	0.000250	0.001942	0.612875	
56.000000	0.000250	0.001899	0.655159	
57.000000	0.000250	0.001907	0.644764	
58.000000	0.000250	0.001941	0.611186	
59.000000	0.000250	0.001876	0.657589	
60.000000	0.000250	0.001835	0.675050	
61.000000	0.000025	0.001771	0.692784	
62.000000	0.000025	0.001746	0.699157	
63.000000	0.000025	0.001734	0.702738	
64.000000	0.000025	0.001726	0.710926	
65.000000	0.000025	0.001720	0.720260	
66.000000	0.000025	0.001715	0.720640	
67.000000	0.000025	0.001711	0.714252	
68.000000	0.000025	0.001705	0.720242	
69.000000	0.000025	0.001699	0.710451	
70.000000	0.000025	0.001693	0.726099	
71.000000	0.000025	0.001688	0.732971	
72.000000	0.000025	0.001684	0.717841	
73.000000	0.000025	0.001677	0.731360	
74.000000	0.000025	0.001672	0.722211	
75.000000	0.000025	0.001666	0.728698	
76.000000	0.000025	0.001661	0.736834	
77.000000	0.000025	0.001655	0.737372	
78.000000	0.000025	0.001649	0.742730	
79.000000	0.000025	0.001639	0.744852	
80.000000	0.000025	0.001637	0.739766	
81.000000	0.000025	0.001628	0.748568	
82.000000	0.000025	0.001623	0.749115	
83.000000	0.000025	0.001616	0.734934	
84.000000	0.000025	0.001606	0.761630	
85.000000	0.000025	0.001600	0.762351	
86.000000	0.000025	0.001594	0.761961	
87.000000	0.000025	0.001583	0.768220	
88.000000	0.000025	0.001590	0.767938	
89.000000	0.000025	0.001577	0.781877	
90.000000	0.000025	0.001565	0.805753	
91.000000	0.000003	0.001547	0.806053	
92.000000	0.000003	0.001536	0.817106	
93.000000	0.000003	0.001536	0.818265	
94.000000	0.000003	0.001533	0.828094	
95.000000	0.000003	0.001532	0.823024	
96.000000	0.000003	0.001530	0.818805	
97.000000	0.000003	0.001527	0.821053	
98.000000	0.000003	0.001525	0.829806	
99.000000	0.000003	0.001525	0.827439	
100.000000	0.000003	0.001524	0.827512	
101.000000	0.000003	0.001523	0.833132	
102.000000	0.000003	0.001520	0.840481	
103.000000	0.000003	0.001520	0.837432	
104.000000	0.000003	0.001518	0.835543	
105.000000	0.000003	0.001518	0.843593	
106.000000	0.000003	0.001517	0.836426	
107.000000	0.000003	0.001513	0.839411	
108.000000	0.000003	0.001515	0.838618	
109.000000	0.000003	0.001512	0.837619	
110.000000	0.000003	0.001513	0.841328	
111.000000	0.000003	0.001510	0.838983	
112.000000	0.000003	0.001507	0.845455	
113.000000	0.000003	0.001509	0.834782	
114.000000	0.000003	0.001506	0.840892	
115.000000	0.000003	0.001506	0.851153	
116.000000	0.000003	0.001503	0.844195	
117.000000	0.000003	0.001501	0.844489	
118.000000	0.000003	0.001499	0.852363	
119.000000	0.000003	0.001499	0.851368	
120.000000	0.000003	0.001497	0.844439	
121.000000	0.000003	0.001498	0.856929	
122.000000	0.000003	0.001495	0.850068	
123.000000	0.000003	0.001494	0.845591	
124.000000	0.000003	0.001492	0.856833	
125.000000	0.000003	0.001490	0.853008	
126.000000	0.000003	0.001488	0.856607	
127.000000	0.000003	0.001487	0.860634	
128.000000	0.000003	0.001486	0.857308	
129.000000	0.000003	0.001484	0.856269	
130.000000	0.000003	0.001484	0.856212	
131.000000	0.000003	0.001483	0.854321	
